"","ref","ptt","deployment.start","deployment.end","deployment.dur","left.colony","combFit","augFit","augFit_pf0.3","year_ptt","year","brand","tag1","tag2","SEAL_ID","SEAL_TAG_TYPE"
"64","mq1-5814-95","5814",1995-12-03 05:18:10,1996-05-04 06:03:05,153,1,-,-,-,"1995_5814",1995,"J239","8392","8393",7375,"B"
"65","mq2-20916-96","20916",1996-12-01 03:00:00,1996-12-12 02:42:37,11,1,1,1,1,"1996_20916",1996,"K887",-,-,9774,"B"
"66","mq2-20917-96","20917",1996-12-03 06:03:14,1996-12-22 12:27:06,19.3,1,0,0,0,"1996_20917",1996,"K354","966","967",9748,"B"
"67","mq2-22483-96","22483",1996-12-03 08:15:16,1997-01-31 04:58:48,58.9,1,1,1,1,"1996_22483",-,-,-,-,-,-
"68","mq2-22490-96","22490",1996-12-04 04:11:02,1997-01-04 23:53:38,31.8,1,1,1,1,"1996_22490",-,-,-,-,-,-
"69","mq2-22500-96","22500",1996-12-03 04:21:06,1996-12-24 05:35:03,21.1,1,1,0,1,"1996_22500",1996,"K339","669","670",9574,"B"
"70","mq2-26623-96","26623",1996-12-03 06:02:30,1997-06-11 03:15:40,189.9,1,1,1,1,"1996_26623",1996,"K397","795","796",9637,"B"
"71","mq2-26624-96","26624",1996-12-04 04:12:22,1997-04-27 14:40:46,144.4,1,1,0,1,"1996_26624",-,-,-,-,-,-
"72","mq2-28482-96","28482",1996-12-04 04:08:32,1997-02-02 18:20:45,60.6,1,1,1,1,"1996_28482",1996,"K223","725","726",9602,"B"
"73","mq3-17217-99","17217",1999-12-27 05:17:12,2000-06-27 22:50:41,183.7,1,1,1,1,"1999_17217",1999,"T088",-,-,26415,"B"
"74","mq3-20918-99","20918",1999-12-01 16:46:29,2000-05-24 21:04:24,175.2,1,1,1,1,"1999_20918",1999,"T875",-,-,26290,"B"
"75","mq3-22484-99","22484",1999-12-17 05:29:15,2000-05-21 10:50:14,156.2,1,0,1,1,"1999_22484",1999,"T806",-,-,25910,"B"
"76","mq3-22488-99","22488",1999-11-23 09:20:56,2000-08-16 00:02:10,266.6,1,1,1,1,"1999_22488",1999,"T899",-,-,25966,"B"
"77","mq3-22498-99","22498",1999-11-19 09:12:11,2000-01-18 06:00:40,59.9,1,1,1,1,"1999_22498",1999,"T857",-,-,25859,"B"
"78","mq3-26627-99","26627",1999-12-03 04:53:05,2000-06-12 03:11:32,191.9,1,1,1,1,"1999_26627",1999,"T867",-,-,26244,"B"
"79","mq3-26629-99","26629",1999-12-03 04:48:25,2000-04-09 00:24:56,127.8,1,1,1,1,"1999_26629",1999,"T773",-,-,26535,"B"
"80","mq3-26635-99","26635",2000-02-09 03:34:11,2000-05-09 13:22:15,90.4,1,1,1,1,"2000_26635",-,-,-,-,-,-
"81","mq3-2841-99","2841",2000-02-09 03:34:57,2000-05-25 19:48:57,106.7,1,1,1,1,"2000_2841",-,-,-,-,-,-
"82","mq3-2845-99","2845",2000-02-09 03:35:22,2001-02-10 05:18:50,367.1,1,1,1,1,"2000_2845",-,-,-,-,-,-
"83","mq3-2846-99","2846",1999-12-16 22:27:30,2000-06-23 12:44:02,189.6,1,1,1,1,"1999_2846",1999,"T232",-,-,25783,"B"
"84","mq3-2849-99","2849",1999-12-27 05:18:16,2000-06-27 15:16:59,183.4,1,0,1,1,"1999_2849",1999,"T825",-,-,26468,"B"
"85","mq3-28494-99","28494",1999-12-13 04:36:45,2000-02-16 09:25:01,65.2,1,1,1,1,"1999_28494",1999,"T807",-,-,26342,"B"
"86","mq3-28496-99","28496",1999-12-22 10:14:04,2000-12-02 02:09:46,345.7,1,1,1,1,"1999_28496",1999,"T823",-,-,26139,"B"
"87","mq3-28497-99","28497",1999-12-03 07:17:30,2000-09-12 22:56:04,284.7,1,1,1,1,"1999_28497",1999,"T839",-,-,25949,"B"
"88","mq3-28500-99","28500",1999-12-04 04:35:56,1999-12-26 12:07:37,22.3,1,1,1,1,"1999_28500",1999,"T772",-,-,26560,"B"
"89","mq3-28504-99","28504",1999-12-27 06:50:07,2001-01-19 18:32:22,389.5,1,1,1,1,"1999_28504",1999,"T719",-,-,25673,"B"
"90","mq3-5812-99","5812",1999-12-22 06:13:02,2000-08-28 18:27:00,250.5,1,1,1,1,"1999_5812",1999,"T887",-,-,26605,"B"
"91","mq4-20918-00","20918",2000-11-30 14:05:53,2001-10-02 20:28:24,306.3,1,1,1,1,"2000_20918",2000,-,"W4191","W4231",28783,"T"
"92","mq4-Alice-00","1547",2000-12-24 06:44:42,2002-01-05 15:23:44,377.4,1,0,1,1,"2000_1547",2000,-,"W3762","W3763",28562,"T"
"93","mq4-Billie-00","17214",2000-12-09 04:22:01,2001-08-29 16:47:54,263.5,1,0,1,1,"2000_17214",2000,-,"W3998","W3999",28680,"T"
"94","mq4-Cleo-00","17216",2000-12-08 11:56:31,2001-08-18 15:51:47,253.2,1,1,1,1,"2000_17216",2000,-,"W2706","W2707",28029,"T"
"95","mq4-Doris-00","20916",2000-12-29 04:15:30,2001-10-03 16:38:56,278.5,1,0,1,1,"2000_20916",2000,-,"W4197","W4198",28775,"T"
"96","mq4-Ella-00","22489",2000-12-24 03:27:10,2001-04-12 21:56:00,109.8,1,1,1,1,"2000_22489",2000,-,"W3325","W3326",28345,"T"
"97","mq4-FirstOne-00","17217",2000-11-23 09:19:34,2001-04-30 14:57:24,158.2,1,1,1,1,"2000_17217",2000,-,"W3000","W3001",28181,"T"
"98","mq4-Flora-00","26624",2000-12-24 03:28:10,2001-06-26 17:50:24,184.6,1,1,1,1,"2000_26624",2000,-,"W3843","W3844",28603,"T"
